FID,CH4,latitude,longitude,State
61961,1.9509977,39.28493355,-103.215217,Colorado
61967,1.95188817,39.28498107,-103.2136936,Colorado
61973,1.95354841,39.28501978,-103.0543783,Colorado
61979,1.95039959,39.28506098,-103.2110235,Colorado
61985,1.94888136,39.28510816,-103.209483,Colorado
61991,1.94815594,39.28514792,-103.2082415,Colorado
61997,1.94867703,39.28519631,-103.2066447,Colorado
62003,1.94856961,39.28524783,-103.2050623,Colorado
62009,1.94832204,39.28528293,-103.2038183,Colorado
62015,1.94800585,39.28532982,-103.2022628,Colorado
62021,1.94683396,39.2853686,-103.2009949,Colorado
62027,1.94689338,39.2854088,-103.1997418,Colorado
62033,1.94751636,39.28546323,-103.1979061,Colorado
62039,1.94505329,39.28549384,-103.1970155,Colorado
62045,1.95803338,39.28553535,-102.9240842,Colorado
62051,1.94248757,39.28559588,-103.1936187,Colorado
62057,1.94542528,39.28563153,-103.1924277,Colorado
62063,1.96107569,39.28567274,-103.0606104,Colorado
62069,1.94238602,39.28572432,-103.189394,Colorado
62075,1.94205045,39.2857488,-103.18848,Colorado
62081,1.94293612,39.28580637,-103.1866847,Colorado
62087,1.94700451,39.28585007,-103.1852239,Colorado
62093,1.94796898,39.28589735,-103.1837617,Colorado
62099,1.93968292,39.28592678,-103.7842485,Colorado
62105,1.94670147,39.28597162,-103.1812118,Colorado
62111,1.94690919,39.28600572,-103.1800967,Colorado
62117,1.94869213,39.28605745,-103.1783464,Colorado
62123,1.94720103,39.2860844,-103.1774708,Colorado
62129,1.95709185,39.28614721,-102.9207787,Colorado
62135,1.94230584,39.28616551,-103.0652643,Colorado
62141,1.95611472,39.28621746,-102.9204099,Colorado
62147,1.94733344,39.28625585,-103.1718135,Colorado
62153,1.94555766,39.28631554,-103.1699962,Colorado
62159,1.95506577,39.28635582,-102.9196716,Colorado
62165,1.94524506,39.28639564,-103.1672739,Colorado
62171,1.94589195,39.28645385,-103.1650856,Colorado
62177,1.94632576,39.28648206,-103.1644602,Colorado
62183,1.94838268,39.28653429,-103.1625917,Colorado
62189,1.95582624,39.28655952,-102.918563,Colorado
62195,1.94572076,39.28660947,-103.1601295,Colorado
62201,1.94753011,39.28664661,-103.1579366,Colorado
62207,1.94374529,39.2866525,-103.156346,Colorado
62213,1.94714251,39.28667256,-103.1537291,Colorado
62219,1.95541067,39.28669644,-102.9178272,Colorado
62225,1.94518674,39.28674489,-103.1511164,Colorado
62231,1.93964465,39.2867769,-103.7866476,Colorado
62237,1.94303983,39.28682699,-103.1482311,Colorado
62243,1.9450158,39.28685588,-103.1472967,Colorado
62249,1.94557742,39.28692157,-103.1451225,Colorado
62255,1.95522274,39.28696703,-102.9163742,Colorado
62261,1.94697535,39.28700914,-103.1422536,Colorado
62267,1.94805644,39.28704687,-103.1410108,Colorado
62273,1.95312806,39.28710012,-102.9156598,Colorado
62279,1.94660892,39.28712596,-103.074823,Colorado
62285,1.94620983,39.28717977,-103.1093933,Colorado
62291,1.94578677,39.28718304,-103.110679,Colorado
62297,1.94605811,39.2871867,-103.1078539,Colorado
62303,1.94706156,39.28718782,-103.1138144,Colorado
62309,1.94957428,39.28719208,-103.1360435,Colorado
62315,1.94775303,39.28719341,-103.1164791,Colorado
62321,1.94696748,39.28719676,-103.1185513,Colorado
62327,1.94618647,39.28719907,-103.1194475,Colorado
62333,1.94652427,39.28720171,-103.1200491,Colorado
62339,1.94870842,39.2872035,-103.1057386,Colorado
62345,1.94835729,39.28720459,-103.0762042,Colorado
62351,1.94759883,39.28720877,-103.104847,Colorado
62357,1.93768873,39.2872113,-103.7876473,Colorado
62363,1.94596641,39.28721244,-103.1292506,Colorado
62369,1.9484621,39.28721443,-103.1316774,Colorado
62375,1.94876374,39.28721524,-103.1326093,Colorado
62381,1.94780547,39.2872186,-103.1341719,Colorado
62387,1.94596553,39.28723181,-103.0769014,Colorado
62393,1.9450875,39.28724109,-103.1012964,Colorado
62399,1.94270209,39.28725091,-103.1000698,Colorado
62405,1.94504214,39.28725906,-103.0793519,Colorado
62411,1.94347639,39.28726382,-103.0981885,Colorado
62417,1.94503274,39.2872699,-103.0823306,Colorado
62423,1.94413291,39.28727848,-103.0838996,Colorado
62429,1.94541476,39.28728192,-103.095342,Colorado
62435,1.94699046,39.28729066,-103.0941279,Colorado
62441,1.94670369,39.28729378,-103.0866833,Colorado
62447,1.94723616,39.28729496,-103.0923188,Colorado
62453,1.94902269,39.28729832,-103.0882728,Colorado
62459,1.9471967,39.287304,-103.0898747,Colorado
62465,1.93584675,39.28752444,-103.7882997,Colorado
62471,1.95407846,39.2879587,-102.9110291,Colorado
62477,1.95616589,39.28829261,-102.9092265,Colorado
